"hwy","drv","cyl","manufacturer","displ"
29,"Dirección delantera",4,"audi",1.8
29,"Dirección delantera",4,"audi",1.8
31,"Dirección delantera",4,"audi",2
30,"Dirección delantera",4,"audi",2
26,"Dirección delantera",6,"audi",2.8
26,"Dirección delantera",6,"audi",2.8
27,"Dirección delantera",6,"audi",3.1
26,"4x4",4,"audi",1.8
25,"4x4",4,"audi",1.8
28,"4x4",4,"audi",2
27,"4x4",4,"audi",2
25,"4x4",6,"audi",2.8
25,"4x4",6,"audi",2.8
25,"4x4",6,"audi",3.1
25,"4x4",6,"audi",3.1
24,"4x4",6,"audi",2.8
25,"4x4",6,"audi",3.1
23,"4x4",8,"audi",4.2
20,"Dirección trasera",8,"chevrolet",5.3
15,"Dirección trasera",8,"chevrolet",5.3
20,"Dirección trasera",8,"chevrolet",5.3
17,"Dirección trasera",8,"chevrolet",5.7
17,"Dirección trasera",8,"chevrolet",6
26,"Dirección trasera",8,"chevrolet",5.7
23,"Dirección trasera",8,"chevrolet",5.7
26,"Dirección trasera",8,"chevrolet",6.2
25,"Dirección trasera",8,"chevrolet",6.2
24,"Dirección trasera",8,"chevrolet",7
19,"4x4",8,"chevrolet",5.3
14,"4x4",8,"chevrolet",5.3
15,"4x4",8,"chevrolet",5.7
17,"4x4",8,"chevrolet",6.5
27,"Dirección delantera",4,"chevrolet",2.4
30,"Dirección delantera",4,"chevrolet",2.4
26,"Dirección delantera",6,"chevrolet",3.1
29,"Dirección delantera",6,"chevrolet",3.5
26,"Dirección delantera",6,"chevrolet",3.6
24,"Dirección delantera",4,"dodge",2.4
24,"Dirección delantera",6,"dodge",3
22,"Dirección delantera",6,"dodge",3.3
22,"Dirección delantera",6,"dodge",3.3
24,"Dirección delantera",6,"dodge",3.3
24,"Dirección delantera",6,"dodge",3.3
17,"Dirección delantera",6,"dodge",3.3
22,"Dirección delantera",6,"dodge",3.8
21,"Dirección delantera",6,"dodge",3.8
23,"Dirección delantera",6,"dodge",3.8
23,"Dirección delantera",6,"dodge",4
19,"4x4",6,"dodge",3.7
18,"4x4",6,"dodge",3.7
17,"4x4",6,"dodge",3.9
17,"4x4",6,"dodge",3.9
19,"4x4",8,"dodge",4.7
19,"4x4",8,"dodge",4.7
12,"4x4",8,"dodge",4.7
17,"4x4",8,"dodge",5.2
15,"4x4",8,"dodge",5.2
17,"4x4",6,"dodge",3.9
17,"4x4",8,"dodge",4.7
12,"4x4",8,"dodge",4.7
17,"4x4",8,"dodge",4.7
16,"4x4",8,"dodge",5.2
18,"4x4",8,"dodge",5.7
15,"4x4",8,"dodge",5.9
16,"4x4",8,"dodge",4.7
12,"4x4",8,"dodge",4.7
17,"4x4",8,"dodge",4.7
17,"4x4",8,"dodge",4.7
16,"4x4",8,"dodge",4.7
12,"4x4",8,"dodge",4.7
15,"4x4",8,"dodge",5.2
16,"4x4",8,"dodge",5.2
17,"4x4",8,"dodge",5.7
15,"4x4",8,"dodge",5.9
17,"Dirección trasera",8,"ford",4.6
17,"Dirección trasera",8,"ford",5.4
18,"Dirección trasera",8,"ford",5.4
17,"4x4",6,"ford",4
19,"4x4",6,"ford",4
17,"4x4",6,"ford",4
19,"4x4",6,"ford",4
19,"4x4",8,"ford",4.6
17,"4x4",8,"ford",5
17,"4x4",6,"ford",4.2
17,"4x4",6,"ford",4.2
16,"4x4",8,"ford",4.6
16,"4x4",8,"ford",4.6
17,"4x4",8,"ford",4.6
15,"4x4",8,"ford",5.4
17,"4x4",8,"ford",5.4
26,"Dirección trasera",6,"ford",3.8
25,"Dirección trasera",6,"ford",3.8
26,"Dirección trasera",6,"ford",4
24,"Dirección trasera",6,"ford",4
21,"Dirección trasera",8,"ford",4.6
22,"Dirección trasera",8,"ford",4.6
23,"Dirección trasera",8,"ford",4.6
22,"Dirección trasera",8,"ford",4.6
20,"Dirección trasera",8,"ford",5.4
33,"Dirección delantera",4,"honda",1.6
32,"Dirección delantera",4,"honda",1.6
32,"Dirección delantera",4,"honda",1.6
29,"Dirección delantera",4,"honda",1.6
32,"Dirección delantera",4,"honda",1.6
34,"Dirección delantera",4,"honda",1.8
36,"Dirección delantera",4,"honda",1.8
36,"Dirección delantera",4,"honda",1.8
29,"Dirección delantera",4,"honda",2
26,"Dirección delantera",4,"hyundai",2.4
27,"Dirección delantera",4,"hyundai",2.4
30,"Dirección delantera",4,"hyundai",2.4
31,"Dirección delantera",4,"hyundai",2.4
26,"Dirección delantera",6,"hyundai",2.5
26,"Dirección delantera",6,"hyundai",2.5
28,"Dirección delantera",6,"hyundai",3.3
26,"Dirección delantera",4,"hyundai",2
29,"Dirección delantera",4,"hyundai",2
28,"Dirección delantera",4,"hyundai",2
27,"Dirección delantera",4,"hyundai",2
24,"Dirección delantera",6,"hyundai",2.7
24,"Dirección delantera",6,"hyundai",2.7
24,"Dirección delantera",6,"hyundai",2.7
22,"4x4",6,"jeep",3
19,"4x4",6,"jeep",3.7
20,"4x4",6,"jeep",4
17,"4x4",8,"jeep",4.7
12,"4x4",8,"jeep",4.7
19,"4x4",8,"jeep",4.7
18,"4x4",8,"jeep",5.7
14,"4x4",8,"jeep",6.1
15,"4x4",8,"land rover",4
18,"4x4",8,"land rover",4.2
18,"4x4",8,"land rover",4.4
15,"4x4",8,"land rover",4.6
